Código Planta,DESCRIPCIÓN BIMBO,Línea de producción,Siglas Línea,Estatus línea,Activo/inactivo,Ubicación física en línea,Centro de Costo,Ubicación física en Planta,BIM,Descripción del activo,Marca,Modelo,Serie,"voltaje, capacidad o dimensiones",Comentarios equipo,Familia Equipo,grafica,Gráfica analisis,,,
BIM-068305,TRANS INCLI (ARRIBA) CON SIST DE VACIO PARA PEGAR LAS TORT A BA PL=5,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-068305,TRANS INCLI (ARRIBA) CON SIST DE VACIO SALIDA ENFRIADOR 3 PL5 TT,GENERICA,NA,NA,NA,TORTILLAS ,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-069062,ENFRIADOR TORRE A NIVEL INFERIOR 8 NIVELES I.J. WHITE 01504 A L2,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-069062,"ENFRIADOR PARA TORTILLAS TORRE ""A"" TRES NIVELES (1,2,3) PL5 TT",J. WHITE,NA,NA,NA,TORTILLAS ,ENFRIADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-069063,"ENFRIADOR PARA TORTILLAS TORRE C TRES NIVELES (8,9)",PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1850,RESGUARDO WONDER S. 3856,BIM-069063,"ENFRIADOR PARA TORTILLAS TORRE ""C"" TRES NIVELES (8,9) PL5 TT",GENERICA,NA,NA,NA,,ENFRIADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-079449,TRANSPORTADOR INTRALOX ANTES DEL DETECTOR DE METALES,PLANTA 5,PL5,BAJA DEFINITIVA,INACTIVO,EMPAQUE,1860,TORTILLAS ,Baja,TRANSPORTADOR INTRALOX ANTES DEL DETECTOR DE METALES,INTRALOX,NA,NA,NA,TORTILLAS ,TRANSPORTADOR,Capturado,Equipo c/Código BIM Bajas,,,
BIM-090718,PONCHADOR DE PAQUETES  # 1 60 PMM SIES 05-0523,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-090718,TRANSPORTADOR PONCHADOR DE BOLSAS DE TORTILLAS PARA EMBOLSADORA #1 PL5 TT,SIES,50523,NA,NA,TORTILLAS ,PONCHADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-090720,TRANSPORTADOR PONCHADOR DE BOLSAS DE TORTILLAS PARA EMBOLSADORA N° 3,PLANTA 5,PL5,FUERA DE USO UTILIZABLE ,INACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-090720,TRANSPORTADOR PONCHADOR DE BOLSAS DE TORTILLAS PARA EMBOLSADORA N° 3,GENERICA,NA,NA,NA,TORTILLAS ,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-092201,PONCHADOR DE PAQUETES # 4 60 PMM SIES 05-0285,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-092201,TRASPORTADOR PONCHADOR DE BOLSAS DE TORTILLAS 05-0285,GENERICA,NA,NA,NA,TORTILLAS ,PONCHADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-101009,TRANSPORTADOR DESCENSO DE TORTILLAS DE HARINA POR VACIO,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-101009,TRANSPORTADOR DESCENSO DE TORTILLAS DE HARINA POR VACIO,GENERICA,NA,NA,NA,TORTILLAS ,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-128736,TRANSPORTADOR RECTO HORIZONTAL ETW02,PLANTA 5,PL5,FUERA DE USO UTILIZABLE,INACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-128736,TRANSPORTADOR RECTO HORIZONTAL ETW02,GENERICA,NA,06-0481,NA,TORTILLAS ,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-169557,TRANSPORTADOR ELEVADO,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-169557,TRANSPORTADOR ELEVADO JIRAFA SALIDA COMAL 8 PL5 TT,GENERICA,NA,NA,NA,TORTILLAS ,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-176051,TRANSPORTADOR ELEVADOR,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-176051,TRANSPORTADOR ELEVADOR JIRAFA SALIDA COMAL 5 PL5 TT,GENERICA,NA,NA,NA,TORTILLAS ,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-179438,COMPUERTA PARA ABRIR BOLSAS EMPAQUE PROMOCIONES,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-179438,COMPUERTA PARA ABRIR BOLSAS EMPAQUE PROMOCIONES PL3 PN2,GENERICA,NA,NA,NA,,COMPUERTA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-234497,DETECTOR DE METALES Y VERIFICADOR DE PESO # 2 6000 GRS ISHIDA DACS-G-S060-44/SS-M-S DETECTOR: 21100238071 - VERIFICADOR: 84705,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-234497,VERIFICADOR DE PESO CON DETECTOR DE METALES ISHIDA NO. 2,THS METAL DETECTOR,t-21e,21100238071,NA,,VERIFICADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-234498,DETECTOR DE METALES Y VERIFICADOR DE PESO # 4 6000 GRS ISHIDA DACS-G-S060-44/SS-M-S DETECTOR: 21100238073 - VERIFICADOR: 84704,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-234498,VERIFICADOR DE PESO CON DETECTOR DE METALES ISHIDA NO. 3,THS METAL DETECTOR,t-21e,21100238073,NA,,VERIFICADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-234499,DETECTOR DE METALES Y VERIFICADOR DE PESO # 5 6000 GRS ISHIDA DACS-G-S060-44/SS-M-S DETECTOR: 21100238070 - VERIFICADOR: 84703,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-234499,VERIFICADOR DE PESO CON DETECTOR DE METALES ISHIDA NO. 4,THS METAL DETECTOR,t-21e,21100238070,NA,,VERIFICADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-234500,DETECTOR DE METALES Y VERIFICADOR DE PESO # 3 6000 GRS ISHIDA DACS-G-S060-44/SS-M-S DETECTOR: 21100238069 - VERIFICADOR: 84706,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-234500,VERIFICADOR DE PESO CON DETECTOR DE METALES ISHIDA NO. 5,THS METAL DETECTOR,t-21e,2.11002E+11,NA,,VERIFICADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-237885,TP-01 TRANSPORTADOR,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-237885,TP-01 TRANSPORTADOR,GENERICA,NA,NA,NA,TORTILLAS ,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-237886,TP-02 TRANSPORTADOR,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-237886,TP-02 TRANSPORTADOR,GENERICA,NA,NA,NA,TORTILLAS ,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-237887,TP-03 TRANSPORTADOR,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-237887,TP-03 TRANSPORTADOR,GENERICA,NA,NA,NA,TORTILLAS ,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-237888,TP-04 TRANSPORTADOR,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-237888,TP-04 TRANSPORTADOR,GENERICA,NA,NA,NA,TORTILLAS ,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-237889,TP-05 TRANSPORTADOR,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-237889,TP-05 TRANSPORTADOR,GENERICA,NA,NA,NA,TORTILLAS ,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-237890,TP-06 TRANSPORTADOR,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-237890,TP-06 TRANSPORTADOR,GENERICA,NA,NA,NA,TORTILLAS ,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-237891,TP-07 TRANSPORTADOR,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-237891,TP-07 TRANSPORTADOR,GENERICA,NA,NA,NA,TORTILLAS ,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-237893,TP-09 TRANSPORTADOR,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-237893,TP-09 TRANSPORTADOR,GENERICA,NA,NA,NA,TORTILLAS ,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-237896,TP-12 TRANSPORTADOR,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-237896,TP-12 TRANSPORTADOR,GENERICA,NA,NA,NA,TORTILLAS ,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-264235,APILADOR CONTADOR DE,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-264235,APILADOR CONTADOR DE TORTILLAS LINEA 6,GENERICA,NA,AFL13005,NA,TORTILLAS ,APILADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-271452,CONTADOR APILADOR ARR-TECH NO 7,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-271452,CONTADOR APILADOR ARR-TECH NO 7,ARR-TECH,NA,NA,NA,TORTILLAS ,CONTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-275662,APILADOR CONTADOR NO 1,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-275662,APILADOR CONTADOR NO 1,GENERICA,NA,NA,NA,TORTILLAS ,APILADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-275663,CONTADOR APILADOR # 2 4 CARRILES ARR-TECH GENESIS SERVO 4 ROW ONLY COUNTER STACKER A14034,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-275663,APILADOR CONTADOR NO 2,ARR-TECH,g38-44,a14034,NA,,APILADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-275664,CONTADOR APILADOR # 3 4 CARRILES ARR-TECH GENESIS SERVO 4 ROW ONLY COUNTER STACKER AFL14009,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-275664,APILADOR CONTADOR NO 3,ARR-TECH,g38-44,a14035,NA,,APILADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-275665,CONTADOR APILADOR # 5 4 CARRILES ARR-TECH GENESIS SERVO 4 ROW ONLY COUNTER STACKER AFL14006,PLANTA 5,PL5,FUERA DE USO UTILIZABLE,INACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-275665,APILADOR CONTADOR NO 4,ARR-TECH,g38-44,a14039,NA,,APILADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-277854,SISTEMA DE EMBOLSADO LAWRENCE,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,BIM-277854,SISTEMA DE EMBOLSADO LAWRENCE,LAWRENCE,NA,NA,NA,TORTILLAS ,SISTEMA,Capturado,Equipo c/Código BIM (validados físicamente),,,
POR CODIFICAR,CONTADOR APILADOR # 1 4 CARRILES ARR-TECH GENESIS SERVO 4 ROW ONLY COUNTER STACKER AFL14005,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,Alta,CONTADOR APILADOR # 1 4 CARRILES ARR-TECH GENESIS SERVO 4 ROW ONLY COUNTER STACKER AFL14005,ARR-TECH,g38-44,a14033,NA,,CONTADOR,Capturado,Registro equipo,,,
POR CODIFICAR,CONTADOR APILADOR # 4 5 CARRILES LAWRENCE    440 VCA OPS1654-18 PS403,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,Alta,CONTADOR APILADOR # 4 5 CARRILES LAWRENCE    440 VCA OPS1654-18 PS403,LAWRENCE,ops1654-18,ps40,5kva,,CONTADOR,Capturado,Registro equipo,,,
POR CODIFICAR,"CONTADOR APILADOR # 7 3  Y 4  CARRILES ARR-TECH GENESIS SERVO 2, 3 & 4 ROW COUNTER STACKER AFL13009",PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,Alta,"CONTADOR APILADOR # 7 3  Y 4  CARRILES ARR-TECH GENESIS SERVO 2, 3 & 4 ROW COUNTER STACKER AFL13009",ARR-TECH,g38-40,a13048,NA,,CONTADOR,Capturado,Registro equipo,,,
POR CODIFICAR,EMBOLSADORA # 03 60 GPM FORMOST IV BL 4/5 92027W,PLANTA 5,PL5,PROCESO DE BAJA,INACTIVO,EMPAQUE,1860,TORTILLAS ,Baja,EMBOLSADORA # 03 60 GPM FORMOST IV BL 4/5 92027W,FORMOST,NA,NA,NA,,EMBOLSADORA,Capturado,Equipo c/Código BIM Bajas,,,
POR CODIFICAR,EMBOLSADORA # 3 LAWRENCE OBS3212-05 BS124,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,Alta,EMBOLSADORA # 3 LAWRENCE OBS3212-05 BS124,LAWRENCE,obs3212-05,bs124,NA,,EMBOLSADORA,Capturado,Registro equipo,,,
POR CODIFICAR,ENFRIADOR TORRE A NIVEL MEDIO 8 NIVELES I.J. WHITE 01504 A L1,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,Alta,ENFRIADOR TORRE A NIVEL MEDIO 8 NIVELES I.J. WHITE 01504 A L1,J.WHITE,8,01504al1,8 niveles ,TORTILLAS ,ENFRIADOR,Capturado,Registro equipo,,,
POR CODIFICAR,ENFRIADOR TORRE A NIVEL SUPERIOR 8 NIVELES I.J. WHITE 01504 A L3,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,Alta,ENFRIADOR TORRE A NIVEL SUPERIOR 8 NIVELES I.J. WHITE 01504 A L3,J.WHITE,NA,01504al3,NA,TORTILLAS ,ENFRIADOR,Capturado,Registro equipo,,,
POR CODIFICAR,ENFRIADOR TORRE B NIVEL SUPERIOR 10 NIVELES I.J. WHITE,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,Alta,ENFRIADOR TORRE B NIVEL SUPERIOR 10 NIVELES I.J. WHITE,J.WHITE,NA,NA,10 niveles ,TORTILLAS ,ENFRIADOR,Capturado,Registro equipo,,,
POR CODIFICAR,ENFRIADOR TORRE C NIVEL MEDIO 8 NIVELES I.J. WHITE 01504 C9,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,Alta,ENFRIADOR TORRE C NIVEL MEDIO 8 NIVELES I.J. WHITE 01504 C9,J.WHITE,NA,NA,NA,TORTILLAS ,ENFRIADOR,Capturado,Registro equipo,,,
POR CODIFICAR,ENFRIADOR TORRE C NIVEL SUPERIOR 8 NIVELES I.J. WHITE 01504 C7,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,Alta,ENFRIADOR TORRE C NIVEL SUPERIOR 8 NIVELES I.J. WHITE 01504 C7,J.WHITE,NA,NA,NA,TORTILLAS ,ENFRIADOR,Capturado,Registro equipo,,,
POR CODIFICAR,PONCHADOR DE PAQUETES  # 2 60 PMM SIES 05-0524,PLANTA 5,PL5,PROCESO DE BAJA,INACTIVO,EMPAQUE,1860,TORTILLAS ,Baja,PONCHADOR DE PAQUETES  # 2 60 PMM SIES 05-0524,SIES,NA,NA,NA,TORTILLAS ,PONCHADOR,Capturado,Equipo c/Código BIM Bajas,,,
POR CODIFICAR,PONCHADOR DE PAQUETES  # 3 60 PMM SIES 05-0525,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,Alta,PONCHADOR DE PAQUETES  # 3 60 PMM SIES 05-0525,SIES,NA,05-0525,220v,TORTILLAS ,PONCHADOR,Capturado,Registro equipo,,,
POR CODIFICAR,PONCHADOR DE PAQUETES # 6 60 PMM SIES,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,Alta,PONCHADOR DE PAQUETES # 6 60 PMM SIES,SIES,NA,05-0526,220v,TORTILLAS ,PONCHADOR,Capturado,Registro equipo,,,
POR CODIFICAR ,EMBOLSADORA # 06 60 GPM FORMOST IV BR 4/5 92029W,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,EMPAQUE,1860,TORTILLAS ,Alta,EMBOLSADORA # 06 60 GPM FORMOST IV BR 4/5 92029W,FORMOST,NA,NA,NA,,EMBOLSADORA,Capturado,Registro equipo,,,
BIM-169555,CONTADOR APILADOR # 6 4 CARRILES ARR-TECH GENESISI SERVO 4 ROW ONLY COUNTER STACKER AFL13005,PLANTA 5,PL5,BAJA DEFINITIVA,INACTIVO,EMPAQUE ,1860,TORTILLAS ,Baja,CONTADOR APILADOR # 6 4 CARRILES ARR-TECH GENESISI SERVO 4 ROW ONLY COUNTER STACKER AFL13005,ARR-TECH,NA,NA,NA,,CONTADOR,Capturado,Equipo c/Código BIM Bajas,,,
BIM-014903,MEZCLADORA DE MASA PEERLESS TAM 16 PL= 5  No 5,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,,BIM-014903,MEZCLADORA DE MASA #1 TAM 20 APV PL3 PN2,PEERLESS,NA,NA,NA,PAN GRANDE 2,MEZCLADORA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-066231,TRANSPORTADOR DE LINEA DE TORTILLAS T-01  RECTO HORIZONTAL S-97-0485  PL=5,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-066231,TRANSPORTADOR  RECTO HORIZONTAL ENTRADA ENFRIADOR 6 PL5 TT,GENERICA,NA,NA,NA,,ALMACENADORA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067049,TRANSPORTADOR DE TRANSFERENCIA,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067049,TRANSPORTADOR DE TRANSFERENCIA DE MASA,GENERICA,NA,WM260005,NA,TORTILLAS ,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067050,TRANSPORTADOR SALIDA PRENSA,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067050,TRANSPORTADOR SALIDA PRENSA,GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067053,TRANSPORTADOR DE ENLACE,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067053,TRANSPORTADOR DE ENLACE,GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067054,PRENSA # 05 15 GPM HERRERA MEGA HERCULES TP 3232,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067054,PRENSA PARA TORTILLAS No 2,HERRERA,NA,NA,NA,,PRENSA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067055,PRENSA # 04 15 GPM HERRERA MEGA HERCULES TP 3232,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067055,PRENSA PARA TORTILLAS No 1,HERRERA,NA,NA,NA,,PRENSA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067060,COMAL # 04 HERRERA 030711608,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067060,COMAL DE 3 NIVELS,HERRERA,NA,NA,NA,,COMAL,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067063,DIVISORA # 4 60 GPM AMF DIVIDER 86203161,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067063,DIVISORA DE 10 HILERAS MODHBD SERIE 86203161,AMF,HBB,86203161,NA,,DIVISORA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067065,BOLEADORA MOD.TORTILLA RND ,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067065,BOLEADORA MODTORTILLA RND SERIE 86203162,GENERICA,NA,86203162,NA,,BOLEADORA ,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067070,TRANSFERENCIA DE ENTRADA AL COMAL,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067070,TRANSFERENCIA DE ENTRADA AL COMAL,GENERICA,NA,NA,NA,,TRANSFERENCIA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067074,TABLERO ELECTRICO MAQUINDAL,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067074,TABLERO ELECTRICO MAQUINDAL,MAQUINDAL,NA,NA,NA,,TABLERO,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067077,TRANSPORTADOR ENTRADA COMAL C.C. 1850,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067077,TRANSPORTADOR ENTRADA COMAL CC 1850,GENERICA,NA,NA,NA,,TAB,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067082,CAMPANA PARA HORNO,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067082,CAMPANA PARA HORNO,GENERICA,NA,NA,NA,,CAMPANA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067181,REPOSADOR ELEVADO,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067181,REPOSADOR ELEVADO,GENERICA,NA,NA,NA,,REPOSADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067182,PRENSA # 06 15 GPM LAWRENCE,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067182,PRENSA LAWRENCE No 1,LAWRENCE,NA,NA,NA,,PRENSA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067183,PRENSA # 07 15 GPM LAWRENCE,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067183,PRENSA LAWRENCE No 2,LAWRENCE,NA,NA,NA,,PRENSA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067184,COMAL # 05 LAWRENCE,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067184,HORNO O COMAL,LAWRENCE,NA,NA,NA,,COMAL,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067185,TRANSFERENCIA DE SALIDA DEL COMAL,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067185,TRANSFERENCIA DE SALIDA DEL COMAL,GENERICA,NA,WM320006,NA,PROCESO TORTILLAS DE TRIGO,VOLTEO,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067187,EMBOLSADORA # 04 60 GPM HARTMANN,PLANTA 5,PL5,FUERA DE USO UTILIZABLE,INACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067187,EMBOLSADORA DE TORTILLAS,HARTMANN,NA,NA,NA,,EMBOLSADORA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067190,TABLERO DE CONTROL TAB2FCTH2401,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067190,TABLERO DE CONTROL TAB2FCTH2401,GENERICA,NA,NA,NA,,TABLERO,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067193,TRANSPORTADOR  INCLINADO,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067193,TRANSPORTADOR  INCLINADO,GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067197,TRANSPORTADOR PARA SALIDA PRENSA,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067197,TRANSPORTADOR PARA SALIDA PRENSA,GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067697,TRANSPORTADOR RECTO HORIZONTAL MASA 1.1 MAQUINDAL PL5 TT M3,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067697,TRANSPORTADOR RECTO HORIZONTAL MASA 1.1 MAQUINDAL PL5 TT M3,MAQUINDAL,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067700,TRANSPORTADOR RECTO HORIZONTAL MASA 1.2 MAQUINDAL PL5 TT M3,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067700,TRANSPORTADOR RECTO HORIZONTAL MASA 1.2 MAQUINDAL PL5 TT M3,MAQUINDAL,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067702,TRANSPORTADOR RECTO HORIZONTAL MASA 1.3 MAQUINDAL PL5 TT M3,PLANTA 5,PL5,EQUIPO EN LINEA,ACTIVO,PROCESO ,1850,TORTILLAS ,BIM-067702,TRANSPORTADOR RECTO HORIZONTAL MASA 1.3 MAQUINDAL PL5 TT M3,MAQUINDAL,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
